ID	DOCULECT	CONCEPT	FORM	TOKENS	COGID	SOURCE	NOTE
2365	Xiahe	Hot	tsʰ.a._.nd.e	tsʰ a + ⁿd e		Sagart2019	!
2366	Alike	Hot	tʂ.o._.ɣ.ə	ʈʂ o + ɣ ə		Sagart2019	
2367	OldChinese	Hot	C/.+.n.a.t	ç/k + n a.t		Sagart2019	
2368	OldTibetan	Hot	tsʰ.a	tsʰ a		Sagart2019	
30	Gyalsumdo	House	kʰaŋpa	kʰ a.ŋ + p a		Dhakal2024	[ ] check ba status
293	Jirel	House	kʰamba	kʰ a.!m/ŋ + b a		Dhakal2024	[ ] check ba status
553	Kagate	House	kʰim	kʰ i.m		Dhakal2024	[x]
807	Lowa	House	kʰaŋpa	kʰ a.ŋ + p a		Dhakal2024	[ ] check ba status
1063	Nubri	House	kʰim	kʰ i.m		Dhakal2024	[x]
1312	Sherpa	House	kʰaŋba	kʰ a.ŋ + b a		Dhakal2024	[ ] check ba status
1556	Tsum	House	koɹtsa	k o.ɹ + ts a		Dhakal2024	[x]
1557	Tsum	House	kʰim	kʰ i.m		Dhakal2024	[x]
1818	Yolmo	House	kʰaŋba	kʰ a.ŋ + b a		Dhakal2024	[ ] check ba status
2369	OldTibetan	House	kʰ.j.i.m	kʰ.j i.m		Sagart2019	
2370	Batang	House	kʰ.õ.∼.⁵⁵.◦.m.b.a.⁵³	kʰ õ ⁵⁵ + ⁿb a ⁵³		Sagart2019	!
2371	Xiahe	House	kʰ.a.ŋ._.w.a	kʰ a.ŋ + w a		Sagart2019	
2372	Lhasa	House	kʰ.a.ŋ.⁵⁵._.p.a.⁵⁵	kʰ a.ŋ ⁵⁵ + p a ⁵⁵		Sagart2019	
2373	Alike	House	n.kʰ.o.ŋ._.ŋ.æ	ⁿkʰ o.ŋ + ŋ æ		Sagart2019	!
2374	OldChinese	House	qˤ.o.k	qˤ o.k		Sagart2019	
124	Gyalsumdo	Husband	kʰjoka	kʰ.j o + k a		Dhakal2024	[x]
125	Gyalsumdo	Husband	kʰjoɡa	kʰ.j o + g a		Dhakal2024	[x]
385	Jirel	Husband	kʰjobo	kʰ.j o + b o		Dhakal2024	[x]
641	Kagate	Husband	kʰjobo	kʰ.j o + b o		Dhakal2024	[x]
898	Lowa	Husband	kʰjoɡa	kʰ.j o + g a		Dhakal2024	[x]
1150	Nubri	Husband	kʰjoka	kʰ.j o + k a		Dhakal2024	[x]
1401	Sherpa	Husband	kʰjoa	kʰ.j o + Ø/w a		Dhakal2024	[x]
1644	Tsum	Husband	kʰjowa	kʰ.j o + w a		Dhakal2024	[x]
1906	Yolmo	Husband	kʰjowa	kʰ.j o + w a		Dhakal2024	[x]
2381	OldTibetan	Husband	kʰ.ʲ.o.+.g.a	kʰ.j o + g a		Sagart2019	
2382	Lhasa	Husband	ch.o.⁵⁵.◦.k.a.⁵⁵	ch/ts o./o ⁵⁵ + k a ⁵⁵		Sagart2019	ch??
2383	Batang	Husband	ɕ.e.⁵⁵.◦.p.a.⁵³	ɕ e ⁵⁵ + p a ⁵³		Sagart2019	
2384	Batang	Husband	nd.u.¹³.◦.r.o.ʔ.⁵³	ⁿd u ¹³ + r o.ʔ ⁵³		Sagart2019	!
2385	Xiahe	Husband	ȵ.ə._.r.u	ȵ ə + r u		Sagart2019	
2386	Alike	Husband	r.g.a._.p.o	r.g a + p o		Sagart2019	!
2387	OldChinese	Husband	p.a	p a		Sagart2019	
221	Gyalsumdo	I	ŋa	ŋ a		Dhakal2024	[x]
487	Jirel	I	ŋa	ŋ a		Dhakal2024	[x]
734	Kagate	I	ŋa	ŋ a		Dhakal2024	[x]
995	Lowa	I	ŋa	ŋ a		Dhakal2024	[x]
1242	Nubri	I	ŋa	ŋ a		Dhakal2024	[x]
1490	Sherpa	I	ŋa	ŋ a		Dhakal2024	[x]
1741	Tsum	I	ŋa	ŋ a		Dhakal2024	[x]
1997	Yolmo	I	ŋa	ŋ a		Dhakal2024	[x]
2388	OldTibetan	I	ŋ.a	ŋ a		Sagart2019	
2389	Batang	I	ŋ.a.²³¹	ŋ a ²³¹		Sagart2019	
2390	Xiahe	I	ŋ.a	ŋ a		Sagart2019	
2391	Lhasa	I	ŋ.a.¹³	ŋ a ¹³		Sagart2019	
2392	Alike	I	ŋ.æ	ŋ æ		Sagart2019	
2393	OldChinese	I	ŋˤ.a	ŋˤ a		Sagart2019	
40	Gyalsumdo	Knife	kaɾt̪a	k a.ɾ + t̪ a		Dhakal2024	[x]
301	Jirel	Knife	tɕʰuɹa	!tɕʰ/t̪ʰ u + ɹ a		Dhakal2024	[x]
302	Jirel	Knife	tsəku	ts ə + k u		Dhakal2024	[x]
561	Kagate	Knife	kart̪a	k a.r + t̪ a		Dhakal2024	[x]
815	Lowa	Knife	tʰi	t̪ʰ i		Dhakal2024	[x]
1071	Nubri	Knife	tuku	t̪ u + k u		Dhakal2024	[x]
1320	Sherpa	Knife	tʰitɕjuŋ	t̪ʰ i + tɕ.j u.ŋ		Dhakal2024	[x]
1565	Tsum	Knife	tʰɹiu	t̪ʰ.ɹ iu		Dhakal2024	[x]
1826	Yolmo	Knife	kaɹt̪a	k a.ɹ + t̪ a		Dhakal2024	[x]
2402	Alike	Knife	cç.ə	cç ə		Sagart2019	!
2403	Xiahe	Knife	tɕ.ə	tɕ ə		Sagart2019	
2404	Lhasa	Knife	tʂh.i.¹³	ʈʂʰ i ¹³		Sagart2019	
2405	Batang	Knife	tʂ.ɪ.²³¹	ʈʂ ɪ ²³¹		Sagart2019	
2406	Alike	Knife	tɕ.ə	tɕ ə		Sagart2019	
2407	OldChinese	Knife	C/.+.tˤ.a.w	ç/k + tˤ a.w		Sagart2019	
2408	OldTibetan	Knife	g.r.i	g.r i		Sagart2019	
69	Gyalsumdo	Leaf	lapt̪i	l a.p + t̪ i		Dhakal2024	[x]
70	Gyalsumdo	Leaf	loma	l o + m a		Dhakal2024	[x]
331	Jirel	Leaf	ɕjomak	ɕj/ɕ o + m a.k		Dhakal2024	[x]
589	Kagate	Leaf	loma	l o + m a		Dhakal2024	[x]
845	Lowa	Leaf	loma	l o + m a		Dhakal2024	[x]
1099	Nubri	Leaf	loma	l o + m a		Dhakal2024	[x]
1349	Sherpa	Leaf	d̪əma	d̪ ə + m a		Dhakal2024	[x]
1593	Tsum	Leaf	hlawa	h.l a + w a		Dhakal2024	[x]
1855	Yolmo	Leaf	loma	l o + m a		Dhakal2024	[x]
2409	OldTibetan	Leaf	l.o.m.a	l o + m a		Sagart2019	
2410	Lhasa	Leaf	l.o.¹³.◦.m.a.⁵⁵	l o ¹³ + m a ⁵⁵		Sagart2019	
2411	Batang	Leaf	l.o.¹³.◦.m.a.⁵³	l o ¹³ + m a ⁵³		Sagart2019	
2412	Alike	Leaf	l.o._.m.a	l o + m a		Sagart2019	
2413	Xiahe	Leaf	l.o._.m.a	l o + m a		Sagart2019	
2414	OldChinese	Leaf	l.a.p	l a.p		Sagart2019	
153	Gyalsumdo	Left	jøma	j ø + m a		Dhakal2024	[x]
411	Jirel	Left	d̪ebɹepa	d̪ e + b.ɹ e + p a		Dhakal2024	[x]
670	Kagate	Left	joma	j o + m a		Dhakal2024	[x]
926	Lowa	Left	jømpa	j ø.m/n + p a		Dhakal2024	[x]
1176	Nubri	Left	jon̪	j o.n		Dhakal2024	[x]
1427	Sherpa	Left	pʰiloɡpa	pʰ i + l !o/a.g/k + p a		Dhakal2024	[x]
1670	Tsum	Left	joma	j o + m a		Dhakal2024	[x]
1932	Yolmo	Left	joma	j o + m a		Dhakal2024	[x]
2415	OldTibetan	Left	g.j.o.n	g.j o.n		Sagart2019	
2416	Batang	Left	j.o.⁵⁵.◦.ɣ.ᴜ.⁵³	j o ⁵⁵ + ɣ u ⁵³		Sagart2019	
2417	Xiahe	Left	h.j.o.n	h.j o.n		Sagart2019	
2418	Lhasa	Left	j.ø̃.∼.⁵⁵	j ø̃ ⁵⁵		Sagart2019	
2419	Alike	Left	ɣ.j.o.n	ɣ.j o.n		Sagart2019	
2420	OldChinese	Left	tsˤ.a.j.ʔ	tsˤ a.j ʔ		Sagart2019	
159	Gyalsumdo	Light	jaŋmu	j a.ŋ + m u		Dhakal2024	jaŋ «light»
418	Jirel	Light	jeŋɡe	j e.ŋ + g e		Dhakal2024	jaŋ «light»
676	Kagate	Light	jaŋd̪i	j a.ŋ + d̪ i		Dhakal2024	jaŋ «light»
932	Lowa	Light	jaŋa	j a.!Ø/ŋ + ŋ a		Dhakal2024	jaŋ «light»
1182	Nubri	Light	jaŋpo	j a.ŋ + p o		Dhakal2024	jaŋ «light»
1433	Sherpa	Light	jeŋɡa	j e.ŋ + g a		Dhakal2024	jaŋ «light»
1676	Tsum	Light	jaŋbo	j a.ŋ + b o		Dhakal2024	jaŋ «light»
1938	Yolmo	Light	jaŋd̪i	j a.ŋ + d̪ i		Dhakal2024	jaŋ «light»
2421	Lhasa	Light	j.a.ŋ.¹³.◦.k.o.⁵⁵	j a.ŋ ¹³ + k o ⁵⁵		Sagart2019	
2422	Batang	Light	j.õ.∼.¹³.◦.m.ᴜ.⁵³	j õ ¹³ + m u ⁵³		Sagart2019	
2423	Xiahe	Light	j.a.ŋ._.m.o	j a.ŋ + m o		Sagart2019	
2424	Alike	Light	j.a.ŋ._.m.o	j a.ŋ + m o		Sagart2019	
2425	OldChinese	Light	kʰ.e.ŋ	kʰ e.ŋ		Sagart2019	
2426	OldTibetan	Light	j.a.ŋ	j a.ŋ		Sagart2019	
148	Gyalsumdo	Long	ɹiŋbu	ɹ i.ŋ + b u		Dhakal2024	
406	Jirel	Long	ɹimbu	ɹ i.!m/ŋ + b u		Dhakal2024	
665	Kagate	Long	riŋbu	r i.ŋ + b u		Dhakal2024	
921	Lowa	Long	ɹiŋa	ɹ/ɾ i.ŋ + !Ø/ŋ a		Dhakal2024	
1171	Nubri	Long	ɹiŋpo	ɹ i.ŋ + p o		Dhakal2024	
1422	Sherpa	Long	riŋbu	r i.ŋ + b u		Dhakal2024	
1665	Tsum	Long	ɹiŋmu	ɹ i.ŋ + m u		Dhakal2024	
1927	Yolmo	Long	ɹiŋbu	ɹ i.ŋ + b u		Dhakal2024	
2427	OldTibetan	Long	r.i.ŋ.◦	r i.ŋ		Sagart2019	
2428	Alike	Long	r.a.ŋ._.k.ə	r a.ŋ + k ə		Sagart2019	
2429	Batang	Long	r.ĩ.∼.¹³.◦.m.b.ᴜ.⁵³	r ĩ ¹³ + m.b u ⁵³		Sagart2019	!
2430	Lhasa	Long	r.i.ŋ.¹³.◦.k.u.⁵⁵	r i.ŋ ¹³ + k u ⁵⁵		Sagart2019	
2431	Xiahe	Long	r.a.ŋ._.w.o	r a.ŋ + w o		Sagart2019	
2432	OldChinese	Long	C/.ə.+.ɴ.+.t.r.a.ŋ	ç/k ə + ɴ + t.r a.ŋ		Sagart2019	
197	Gyalsumdo	Many	maŋbu	m a.ŋ + b u		Dhakal2024	[x]
454	Jirel	Many	kalbe	k a.l + b e		Dhakal2024	[x]
712	Kagate	Many	maŋbu	m a.ŋ + b u		Dhakal2024	[x]
972	Lowa	Many	maŋa	m a.ŋ + !Ø/ŋ a		Dhakal2024	[x]
1219	Nubri	Many	aŋsaŋ	a.ŋ + s a.ŋ		Dhakal2024	[x]
1468	Sherpa	Many	ala	a + l a		Dhakal2024	[x]
1711	Tsum	Many	kaʑin	k a + ʑ i.n		Dhakal2024	[x]
1975	Yolmo	Many	maŋbu	m a.ŋ + b u		Dhakal2024	[x]
2433	OldTibetan	Many	m.a.ŋ.+	m a.ŋ		Sagart2019	
2434	Lhasa	Many	m.a.ŋ.¹³.◦.k.o.⁵⁵	m a.ŋ ¹³ + k o ⁵⁵		Sagart2019	
2435	Batang	Many	m.õ.∼.¹³.◦.m.b.ᴜ.⁵³	m õ ¹³ + m.b u ⁵³		Sagart2019	!
2436	Xiahe	Many	m.a.ŋ	m a.ŋ		Sagart2019	
2437	Alike	Many	m.a.ŋ._.ŋ.æ	m a.ŋ + ŋ æ		Sagart2019	
2438	OldChinese	Many	t.lˤ.a.j	t.lˤ a.j		Sagart2019	
93	Gyalsumdo	Meat	ɕja	ɕ.j a		Dhakal2024	[x]
353	Jirel	Meat	ɕja	ɕ.j a		Dhakal2024	[x]
611	Kagate	Meat	ɕja	ɕ.j a		Dhakal2024	[x]
868	Lowa	Meat	ɕja	ɕ.j a		Dhakal2024	[x]
1121	Nubri	Meat	ɕja	ɕ.j a		Dhakal2024	[x]
1371	Sherpa	Meat	ɕja	ɕ.j a		Dhakal2024	[x]
1615	Tsum	Meat	ɕja	ɕ.j a		Dhakal2024	[x]
1877	Yolmo	Meat	ɕja	ɕ.j a		Dhakal2024	[x]
2439	OldTibetan	Meat	ɕ.a	ɕ a		Sagart2019	
2440	Batang	Meat	xh.a.⁵³	xʰ a ⁵³		Sagart2019	
2441	Lhasa	Meat	ɕ.a.⁵⁵	ɕ a ⁵⁵		Sagart2019	
2442	Alike	Meat	xh.a	xʰ a		Sagart2019	?
2443	Xiahe	Meat	xh.a	xʰ a		Sagart2019	???
2444	OldChinese	Meat	k.+.n.u.k	k + n u.k		Sagart2019	
48	Gyalsumdo	Moon	t̪akaɹ	t̪ a + k a.ɹ		Dhakal2024	s.l a
49	Gyalsumdo	Moon	t̪awa	t̪ a + w a		Dhakal2024	s.l a
310	Jirel	Moon	nd̪aɡaɹ	ⁿd/d̪ a + g/k a.ɹ		Dhakal2024	s.l a
569	Kagate	Moon	d̪aɡarmu	d̪ a + g/k a.r + m u		Dhakal2024	s.l a
823	Lowa	Moon	nd̪a	ⁿd/d a		Dhakal2024	s.l a
1079	Nubri	Moon	t̪a	t̪ a		Dhakal2024	s.l a
1328	Sherpa	Moon	əud̪əkar	əu + d̪ ə + g/k a.r		Dhakal2024	s.l a
1573	Tsum	Moon	nd̪akar	ⁿd/d̪ a + k a.ɹ		Dhakal2024	s.l a
1834	Yolmo	Moon	nd̪awa	ⁿd/d̪ a + w a		Dhakal2024	s.l a
2445	OldTibetan	Moon	s.l.a	s.l a		Sagart2019	
2446	Lhasa	Moon	t.a.¹³.◦.w.a.⁵⁵	t a ¹³ + w a ⁵⁵		Sagart2019	
2447	Batang	Moon	nd.a.¹³.◦.ɣ.ɑ.⁵⁵	ⁿd a ¹³ + ɣ ɑ ⁵⁵		Sagart2019	!
2448	Xiahe	Moon	dz.a	dz a		Sagart2019	
2449	Alike	Moon	r.dz.a	r.dz a		Sagart2019	!
2450	Xiahe	Moon	d.a._.w.a	d a + w a		Sagart2019	
2451	OldChinese	Moon	ŋʷ.a.t	ŋʷ a.t		Sagart2019	
132	Gyalsumdo	Morning	namʑen	n a.m + ʑ e.n		Dhakal2024	[x]
391	Jirel	Morning	ŋomu	ŋ o + m u		Dhakal2024	[x]
648	Kagate	Morning	ŋamu	ŋ a + m u		Dhakal2024	[x]
904	Lowa	Morning	ŋat̪o	ŋ a + t̪ o		Dhakal2024	[x]
1156	Nubri	Morning	tõŋkõ	t̪ !õ/o.ŋ + k !õ/o		Dhakal2024	[x]
1407	Sherpa	Morning	tʰop	t̪ʰ o.p		Dhakal2024	[x]
1650	Tsum	Morning	ɕjuo	ɕ.j uo		Dhakal2024	[x]
1912	Yolmo	Morning	ɕjole	ɕ.j o + l e		Dhakal2024	[x]
2452	Xiahe	Morning	n.a.ŋ._.d.i	n a.ŋ + d i		Sagart2019	
2453	Lhasa	Morning	ɕ.o.¹³.◦.k.ɛ.⁵²	ɕ o ¹³ + k ɛ ⁵²		Sagart2019	
2454	Batang	Morning	x.o.¹³.◦.p.ɑ.⁵⁵	x o ¹³ + p ɑ ⁵⁵		Sagart2019	
2455	Alike	Morning	r.ŋ.a._.m.o	r.ŋ a + m o		Sagart2019	!
2456	Alike	Morning	r.ŋ.a._.r.o	r.ŋ a + r o		Sagart2019	!
2457	OldChinese	Morning	d.ə.r	d ə.r		Sagart2019	
2458	OldTibetan	Morning	ʑ.o.g.s.+.p.a	ʑ o.g s + p a		Sagart2019	
109	Gyalsumdo	Mosquito	lamkute	l a.m + k u + t̪ e		Dhakal2024	[x]
370	Jirel	Mosquito	lamkute	l a.m + k u + t̪ e		Dhakal2024	[x]
626	Kagate	Mosquito	lamkʰute	l a.m + !kʰ/k u + t̪ e		Dhakal2024	[x]
883	Lowa	Mosquito	t̪uŋdaŋ	t̪ u.ŋ + d a.ŋ		Dhakal2024	[x]
1135	Nubri	Mosquito	t̪ukɖaŋ	t̪ u.k + ɖ a.ŋ		Dhakal2024	[x]
1386	Sherpa	Mosquito	lamkʰute	l a.m + !kʰ/k u + t̪ e		Dhakal2024	[x]
1629	Tsum	Mosquito	lamkute	l a.m + k u + t̪ e		Dhakal2024	[x]
1891	Yolmo	Mosquito	mətɕʰəɹ	m ə + tɕʰ ə.ɹ		Dhakal2024	← Hindi «machchhar»
2459	Lhasa	Mosquito	th.u.k.¹³.◦.p.a.ŋ.⁵⁵	tʰ u.k ¹³ + p a.ŋ ⁵⁵		Sagart2019	
2460	Batang	Mosquito	m.b.ᴜ.⁵⁵.◦.l.ũ.∼.⁵⁵	m.b u ⁵⁵ + l ũ ⁵⁵		Sagart2019	!
2461	Alike	Mosquito	w.a._.d.a.k._.ɣ.a	w a + d a.k + ɣ a		Sagart2019	
2462	Xiahe	Mosquito	a._.j.a.ŋ._.ndz.ə	a + j a.ŋ + ⁿdz ə		Sagart2019	!
2463	OldChinese	Mosquito	C/.+.m.ə.r	ç/k + m ə.r		Sagart2019	
117	Gyalsumdo	Mother	ama	a + m a		Dhakal2024	[x]
378	Jirel	Mother	ãma	!ã/a + m a		Dhakal2024	[x]
634	Kagate	Mother	ama	a + m a		Dhakal2024	[x]
891	Lowa	Mother	ama	a + m a		Dhakal2024	[x]
1143	Nubri	Mother	aã	a + !Ø/m !ã/a		Dhakal2024	[x]
1394	Sherpa	Mother	ama	a + m a		Dhakal2024	[x]
1637	Tsum	Mother	ãã	!ã/a + !Ø/m !ã/a		Dhakal2024	[x]
1899	Yolmo	Mother	ãmã	!ã/a + m !ã/a		Dhakal2024	[x]
2464	OldTibetan	Mother	ʔa.m.a	ʔ a + m a		Sagart2019	
2465	Lhasa	Mother	a.⁵⁵.◦.m.a.⁵⁵	a ⁵⁵ + m a ⁵⁵		Sagart2019	
2466	Batang	Mother	ʔ.a.⁵⁵.◦.m.a.⁵³	ʔ a ⁵⁵ + m a ⁵³		Sagart2019	
2467	Batang	Mother	m.a.¹³.◦.g.ẽ.∼.⁵⁵	m a ¹³ + g ẽ ⁵⁵		Sagart2019	
2468	Xiahe	Mother	ʔ.a._.m.a	ʔ a + m a		Sagart2019	
2469	Alike	Mother	æ._.m.æ	æ + m æ		Sagart2019	
2470	OldChinese	Mother	m.ə.ʔ	m ə ʔ		Sagart2019	
9	Gyalsumdo	Mouth	kʰa	kʰ a		Dhakal2024	[x]
275	Jirel	Mouth	kʰa	kʰ a		Dhakal2024	[x]
534	Kagate	Mouth	kʰa	kʰ a		Dhakal2024	[x]
787	Lowa	Mouth	kʰa	kʰ a		Dhakal2024	[x]
1045	Nubri	Mouth	kʰabt̪u	kʰ !ab/a + t̪ u		Dhakal2024	[x]
1293	Sherpa	Mouth	kʰa	kʰ a		Dhakal2024	[x]
1538	Tsum	Mouth	kʰa	kʰ a		Dhakal2024	[x]
1799	Yolmo	Mouth	kʰa	kʰ a		Dhakal2024	[x]
2471	OldTibetan	Mouth	kʰ.a	kʰ a		Sagart2019	
2472	Lhasa	Mouth	kʰ.a.⁵⁵	kʰ a ⁵⁵		Sagart2019	
2473	Batang	Mouth	kʰ.a.⁵³	kʰ a ⁵³		Sagart2019	
2474	Alike	Mouth	kʰ.æ	kʰ æ		Sagart2019	
2475	Xiahe	Mouth	kʰ.a	kʰ a		Sagart2019	
2476	OldChinese	Mouth	kʰˤ.o.ʔ	kʰˤ o ʔ		Sagart2019	
65	Gyalsumdo	Mud	sa	s a		Dhakal2024	[x]
327	Jirel	Mud	səbi	s ə + b i		Dhakal2024	[x]
585	Kagate	Mud	sebi	s e + b i		Dhakal2024	[x]
840	Lowa	Mud	n̪d̪ampak	ⁿd/d a.m + p a.k		Dhakal2024	[x]
841	Lowa	Mud	sa	s a		Dhakal2024	[x]
1095	Nubri	Mud	t̪ampa	t̪ a.m + p a		Dhakal2024	[!] could be a pa-suffix
1345	Sherpa	Mud	t̪ʰala	t̪ʰ a + l a		Dhakal2024	[?] loan from Chinese?
1589	Tsum	Mud	sa	s a		Dhakal2024	[x]
1851	Yolmo	Mud	sasa	s a + s a		Dhakal2024	[x]
2477	Batang	Mud	nd.ɑ.¹³.◦.b.ɑ.ʔ.⁵³	ⁿd ɑ ¹³ + b ɑ.ʔ ⁵³		Sagart2019	!
2478	Xiahe	Mud	nd.a._.m.b.a.x	ⁿd a + m.b a.x		Sagart2019	!
2479	Lhasa	Mud	t.a.k.¹³.◦.p.a.⁵²	t a.k ¹³ + p a ⁵²		Sagart2019	
2480	Alike	Mud	n.d.a.m._.m.b.a.k	n.d a.m + m.b a.k		Sagart2019	!
2481	OldChinese	Mud	C/.+.nˤ.ə.j	ç/k + nˤ ə.j		Sagart2019	
2482	OldTibetan	Mud	ɴ.d.a.m.+.p.a	ɴ.d a.m + p a		Sagart2019	
112	Gyalsumdo	Name	miŋ	m i.ŋ		Dhakal2024	[borrowed from Chinese]
373	Jirel	Name	min̪	m i.n		Dhakal2024	[borrowed from Chinese]
629	Kagate	Name	min	m i.n		Dhakal2024	[borrowed from Chinese]
886	Lowa	Name	miŋ	m i.ŋ		Dhakal2024	[borrowed from Chinese]
1138	Nubri	Name	min̪	m i.n		Dhakal2024	[borrowed from Chinese]
1389	Sherpa	Name	min	m i.n		Dhakal2024	[borrowed from Chinese]
1632	Tsum	Name	min	m i.n		Dhakal2024	[borrowed from Chinese]
1894	Yolmo	Name	min	m i.n		Dhakal2024	[borrowed from Chinese]
2483	OldTibetan	Name	mʲ.i.ŋ	mʲ i ŋ		Sagart2019	
2484	Lhasa	Name	m.i.ŋ.¹³	m i.ŋ ¹³		Sagart2019	
2485	Batang	Name	m.ĩ.∼.¹³	m ĩ ¹³		Sagart2019	
2486	Xiahe	Name	ȵ.a.ŋ	ȵ a ŋ		Sagart2019	
2487	Alike	Name	ȵ.a.ŋ._.ŋ.æ	ȵ a.ŋ + ŋ æ		Sagart2019	
2488	OldChinese	Name	C/.+.m.e.ŋ	ç/k + m e.ŋ		Sagart2019	
154	Gyalsumdo	Near	ɲemu	ɲ e + m u		Dhakal2024	[x]
412	Jirel	Near	ɲibid̪u	ɲ i + b i + d̪ u		Dhakal2024	[x]
671	Kagate	Near	t̪ʰama	t̪ʰ a + m a		Dhakal2024	[x]
927	Lowa	Near	ŋe	ŋ e		Dhakal2024	[x]
1177	Nubri	Near	t̪ʰaɲiw	t̪ʰ a + ɲ i.w		Dhakal2024	[x]
1428	Sherpa	Near	t̪ʰakŋemo	t̪ʰ a.k + ŋ e + m o		Dhakal2024	[x]
1671	Tsum	Near	tɹala	t̪.ɹ a + l a		Dhakal2024	[x]
1933	Yolmo	Near	poɰla	p o.ɰ + l a		Dhakal2024	[x]
2489	OldTibetan	Near	tʰ.a.g.+.ɲ.e.+.p.o	tʰ a.g + ɲ e + p o		Sagart2019	
2490	Xiahe	Near	th.a.χ._.ȵ.i	tʰ a.χ + ȵ i		Sagart2019	
2491	Lhasa	Near	th.a.⁵²._.ȵ.e.¹³.◦.p.o.⁵⁵	tʰ a ⁵² + ȵ e ¹³ + p o ⁵⁵		Sagart2019	
2492	Batang	Near	th.ɑ.ʔ.⁵³.◦.th.ũ.∼.¹³.◦.th.ũ.∼.⁵⁵	tʰ ɑ.ʔ ⁵³ + tʰ ũ ¹³ + tʰ ũ ⁵⁵		Sagart2019	
2493	Alike	Near	th.a.k._.ȵ.e	tʰ a.k + ȵ e		Sagart2019	
2494	OldChinese	Near	ɴ.+.k.ə.r.ʔ	ɴ + k ə.r ʔ		Sagart2019	!remove!
2495	OldChinese	Near	n.ə.r.ʔ	n ə.r ʔ		Sagart2019	
44	Gyalsumdo	Needle	kʰap	kʰ a.p		Dhakal2024	[x]
306	Jirel	Needle	kʰap	kʰ a.p		Dhakal2024	[x]
565	Kagate	Needle	kʰap	kʰ a.p		Dhakal2024	[x]
819	Lowa	Needle	kʰap	kʰ a.p		Dhakal2024	[x]
1075	Nubri	Needle	kʰap	kʰ a.p		Dhakal2024	[x]
1324	Sherpa	Needle	kʰap	kʰ a.p		Dhakal2024	[x]
1569	Tsum	Needle	kʰap	kʰ a.p		Dhakal2024	[x]
1830	Yolmo	Needle	kʰap	kʰ a.p		Dhakal2024	[x]
2496	OldTibetan	Needle	kʰ.a.b	kʰ a.b		Sagart2019	
2497	Lhasa	Needle	kʰ.ə.p.⁵²	kʰ ə.p ⁵²		Sagart2019	
2498	Batang	Needle	kʰ.ɑ.u.ʔ.⁵³	kʰ ɑu.ʔ ⁵³		Sagart2019	
2499	Alike	Needle	kʰ.a.p	kʰ a.p		Sagart2019	
2500	Xiahe	Needle	kʰ.a.p	kʰ a.p		Sagart2019	
2501	OldChinese	Needle	t.+.k.ə.m	t + k ə.m		Sagart2019	
143	Gyalsumdo	New	sampa	s a + ⁿp/p a		Dhakal2024	[x]
401	Jirel	New	samba	s a + ⁿb/b a		Dhakal2024	[x]
658	Kagate	New	samba	s a + ⁿb/b a		Dhakal2024	[x]
914	Lowa	New	sawa	s a + w a		Dhakal2024	[x]
1166	Nubri	New	sampa	s a + ⁿp/p a		Dhakal2024	[x]
1417	Sherpa	New	samba	s a + ⁿb/b a		Dhakal2024	[x]
1660	Tsum	New	samba	s a + ⁿb/b a		Dhakal2024	[x]
1922	Yolmo	New	samba	s a + ⁿb/b a		Dhakal2024	[x]
2502	OldTibetan	New	g.s.a.r.◦	g.s a.r		Sagart2019	
2503	Xiahe	New	sʰ.o._.m.a	sʰ o + m a		Sagart2019	???
2504	Lhasa	New	s.aː.⁵⁵.◦.p.a.⁵⁵	s aː ⁵⁵ + p a ⁵⁵		Sagart2019	
2505	Batang	New	s.ɛ.⁵⁵.◦.b.a.⁵³	s ɛ ⁵⁵ + b a ⁵³		Sagart2019	
2506	Alike	New	sʰ.o._.m.æ	sʰ o + m æ		Sagart2019	!sh?
2507	OldChinese	New	s.+.tsʰ.i.n	s + tsʰ i.n		Sagart2019	
174	Gyalsumdo	Nine	ku	k u		Dhakal2024	[x]
433	Jirel	Nine	ŋɡu	ⁿg/g u		Dhakal2024	[x]
690	Kagate	Nine	ku	k u		Dhakal2024	[x]
947	Lowa	Nine	ku	k u		Dhakal2024	[x]
1197	Nubri	Nine	ku	k u		Dhakal2024	[x]
1447	Sherpa	Nine	ɡu	g u		Dhakal2024	[x]
1690	Tsum	Nine	ku	k u		Dhakal2024	[x]
1952	Yolmo	Nine	ku	k u		Dhakal2024	[x]
2508	OldTibetan	Nine	d.g.u	d.g u		Sagart2019	
2509	Xiahe	Nine	g.ə	g ə		Sagart2019	
2510	Lhasa	Nine	k.u.¹³	k u ¹³		Sagart2019	
2511	Batang	Nine	g.ᴜ.⁵³	g u ⁵³		Sagart2019	
2512	Alike	Nine	r.g.ə	r.g ə		Sagart2019	!
2513	OldChinese	Nine	k.u.ʔ	k u ʔ		Sagart2019	
8	Gyalsumdo	Nose	naɾki	n aɾ/a + k i		Dhakal2024	[x]
274	Jirel	Nose	n̪əu	n əu		Dhakal2024	[x]
533	Kagate	Nose	nasum	n a + s u.m		Dhakal2024	[x]
786	Lowa	Nose	na	n a		Dhakal2024	[x]
1044	Nubri	Nose	nat̪u	n a + t̪ u		Dhakal2024	[x]
1292	Sherpa	Nose	nəu	n əu		Dhakal2024	[x]
1537	Tsum	Nose	na	n a		Dhakal2024	[x]
