ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS_IN_SOURCE	TOKENS	COGID
541	Kagate	Elbow	uti	uti	u + t̪ i	u + t̪ i	
542	Kagate	Palm	t̪ʰaldze	t̪ʰaldze	t̪ʰ a l + dz e	t̪ʰ a.l + dz e	
543	Kagate	Finger	t̪ʰebu	t̪ʰebu	t̪ʰ e + b u	t̪ʰ e + b u	
544	Kagate	Fingernail	sermu	sermu	s e r + m u	s e.r + m u	
545	Kagate	Leg	kaŋba	kaŋba	k a ŋ + b a	k a.ŋ + b a	
546	Kagate	Skin	koba	koba	k o + b a	k o + b a	726
547	Kagate	Bone	rekok	rekok	r e + k o k	r e + k o.k	1208
548	Kagate	Heart	niŋ	niŋ	n i ŋ	n i.ŋ	1288
549	Kagate	Blood	tʰa	tʰa	t̪ʰ a	t̪ʰ a	1206
550	Kagate	Urine	tsiŋ	tsiŋ	ts i ŋ	ts i.ŋ	
551	Kagate	Faeces	kjakpa	kjakpa	k j a k + p a	k.j a.k + p a	
552	Kagate	Village	jul	jul	j u l	j u.l	
553	Kagate	House	kʰim	kʰim	kʰ i m	kʰ i.m	1300
554	Kagate	Roof	t̪uŋso	t̪uŋso	t̪ u ŋ + s o	t̪ u.ŋ + s o	
555	Kagate	Door	ko	ko	k o	k o	
556	Kagate	Firewood	siŋ	siŋ	s i ŋ	s i.ŋ	1254
557	Kagate	Broom	pʰema	pʰema	pʰ e + m a	pʰ e + m a	
558	Kagate	Mortar	t̪olep	t̪olep	t̪ o + l e p	t̪ o + l e.p	
559	Kagate	Pestle	t̪imbu	t̪imbu	t̪ i m + b u	t̪ i.m + b u	
560	Kagate	Hammer	t̪ʰwa	t̪ʰwa	t̪ʰ !Ø/o + w a	t̪ʰ !Ø/o + w a	
561	Kagate	Knife	kart̪a	kart̪a	k a r + t̪ a	k a.r + t̪ a	422
562	Kagate	Axe	t̪əri	t̪əri	t̪ ə + r i	t̪ ə + r i	
563	Kagate	Rope	t̪ʰakpa	t̪ʰakpa	t̪ʰ a k + p a	t̪ʰ a.k + p a	1374
564	Kagate	Thread	kupa	kupa	k u + p a	k u + p a	
565	Kagate	Needle	kʰap	kʰap	kʰ a p	kʰ a.p	1348
566	Kagate	Cloth	kela	kela	k e + l a	k e + l a	
567	Kagate	Ring	sipt̪ur	sipt̪ur	s i p + t̪ u r	s i.p + t̪ u.r	
568	Kagate	Sun	ŋima	ŋima	ŋ i + m a	ŋ i + m a	1418
569	Kagate	Moon	d̪aɡarmu	d̪aɡarmu	d̪ a + g/k a r + m u	d̪ a + g/k a.r + m u	1327
570	Kagate	Sky	nam	nam	n a m	n a.m	1392
571	Kagate	Star	karma	karma	k a r + m a	k a.r + m a	1410
572	Kagate	Rain	nam	nam	n a m	n a.m	
573	Kagate	Water	tɕʰju	tɕʰju	tɕʰj/tɕʰ u	tɕʰj/tɕʰ u	1458
574	Kagate	River	tsaŋbu	tsaŋbu	ts a ŋ + b u	ts a.ŋ + b u	1368
575	Kagate	Cloud	mukpa	mukpa	m u k + p a	m u.k + p a	176
576	Kagate	Lightening	milik	milik	m i + l i k	m i + l i.k	
577	Kagate	Rainbow	dzakormu	dzakormu	dz a + k o r + m u	dz a + k o.r + m u	1358
578	Kagate	Wind	hlaba	hlaba	h l a + b a	h.l a + b a	1486
579	Kagate	Stone	t̪o	t̪o	t̪ o	t̪ o	1416
580	Kagate	Path	lam	lam	l a m	l a.m	
581	Kagate	Sand	pema	pema	p e + m a	p e + m a	1382
582	Kagate	Fire	me	me	m e	m e	1251
583	Kagate	Smoke	d̪ipa	d̪ipa	d̪ i + p a	d̪ i + p a	
584	Kagate	Ash	t̪ʰala	t̪ʰala	t̪ʰ a + l a	t̪ʰ a + l a	
585	Kagate	Mud	sebi	sebi	s e + b i	s e + b i	534
586	Kagate	Dust	t̪ʰaldzuk	t̪ʰaldzuk	t̪ʰ a + l Ø/a + dz u k	t̪ʰ a + l Ø/a + dz u.k	1237
587	Kagate	Gold	ser	ser	s e r	s e.r	
588	Kagate	Tree	t̪oŋbo	t̪oŋbo	t̪ o ŋ + b o	t̪ o.ŋ + b o	1039
589	Kagate	Leaf	loma	loma	l o + m a	l o + m a	1315
590	Kagate	Root	tsarŋe	tsarŋe	ts a r + ŋ e	ts a.r + ŋ e	1371
591	Kagate	Thorn	tsʰermaŋ	tsʰermaŋ	tsʰ e r + m !aŋ/a	tsʰ e.r + m !aŋ/a	
592	Kagate	Flower	mend̪o	mend̪o	m e + ⁿd̪/d̪ o	m e + ⁿd̪/d̪ o	1257
593	Kagate	Fruit	brumd̪o	brumd̪o	b r u m + d̪ o	b.r u.m + d̪ o	12
594	Kagate	Mango	ãp	ãp	ã p	ã.p	
595	Kagate	Banana	alamu	alamu	a + l a + m u	a + l a + m u	
596	Kagate	Wheat (husked)	nẽjã	nẽjã	n ẽ + j ã	n ẽ + j ã	1092
597	Kagate	Barley	wa	wa	w a	w a	54
598	Kagate	Rice (husked)	brea	brea	b r ea	b.r ea	
599	Kagate	Potato	he	he	h e	h e	
600	Kagate	Eggplant	bjanta	bjanta	b j a n + t̪ a	b.j a.n + t̪ a	
601	Kagate	Groundnut	bəd̪am	bəd̪am	b ə + d̪ a m	b ə + d̪ a.m	
602	Kagate	Chilli	martsi	martsi	m a r + ts i	m a.r + ts i	
603	Kagate	Turmeric	juŋa	juŋa	j u + ŋ a	j u + ŋ a	
604	Kagate	Garlic	kokpa	kokpa	k o k + p a	k o.k + p a	
605	Kagate	Onion	pjadz	pjadz	p j a dz	p.j a.dz	
606	Kagate	Cauliflower	kauli	kauli	k au + l i	k au + l i	
607	Kagate	Tomato	ɡolbeda	ɡolbeda	g o l + b e + d̪ a	g o.l + b e + d̪ a	
608	Kagate	Cabbage	bənd̪aɡobi	bənd̪aɡobi	b ə n + d̪ a + g o + b i	b ə.n + d̪ a + g o + b i	
609	Kagate	Oil	marku	marku	m a r + k u	m a.r + k u	
610	Kagate	Salt	tsʰa	tsʰa	tsʰ a	tsʰ a	1380
611	Kagate	Meat	ɕja	ɕja	ɕ j a	ɕ.j a	1325
612	Kagate	Fat (of meat)	tsʰiluk	tsʰiluk	tsʰ i + l u k	tsʰ i + l u.k	
613	Kagate	Fish	ɲa	ɲa	ɲ a	ɲ a	1255
614	Kagate	Chicken	tsipru	tsipru	ts i p + r u	ts i.p + r u	
615	Kagate	Egg	tɕjamuɡoŋa	tɕjamuɡoŋa	tɕj/tɕ a + m u + !g/k o + ŋ a	tɕj/tɕ a + m u + !g/k o + ŋ a	1242
616	Kagate	Cow	palaŋ	palaŋ	p a + l a ŋ	p a + l a.ŋ	
617	Kagate	Buffalo	mãjĩ	mãjĩ	m ã + j ĩ	m ã + j ĩ	
618	Kagate	Milk	oma	oma	o + m a	o + m a	
619	Kagate	Horns	rwaɡa	rwaɡa	r w a + g a	r.w a + g a	1292
620	Kagate	Tail	ŋama	ŋama	ŋ a + m a	ŋ a + m a	1419
621	Kagate	Goat	ra	ra	r a	r a	1269
622	Kagate	Dog	kʰi	kʰi	kʰ i	kʰ i	1231
623	Kagate	Snake	prul	prul	p r u l	p.r u.l	1401
624	Kagate	Monkey	preken	preken	p r e + k e n	p.r e + k e.n	
625	Kagate	Monkey	priu	priu	p r iu	p.r iu	
626	Kagate	Mosquito	lamkʰute	lamkʰute	l a m + !kʰ/k u + t̪ e	l a.m + !kʰ/k u + t̪ e	523
627	Kagate	Ant	tomak	tomak	t̪ o + m a k	t̪ o + m a.k	1183
628	Kagate	Spider	kiɡor	kiɡor	k i + g o r	k i + g o.r	56
629	Kagate	Name	min	min	m i n	m i.n	1344
630	Kagate	Man	mi	mi	m i	m i	
631	Kagate	Woman	penpidza	penpidza	p e n + p i + dz a	p e.n + p i + dz a	1134
632	Kagate	Child	pidza	pidza	p i + dz a	p i + dz a	
633	Kagate	Father	aba	aba	a + b a	a + b a	1249
634	Kagate	Mother	ama	ama	a + m a	a + m a	1338
635	Kagate	Older brother	at̪a	at̪a	a + t̪ a	a + t̪ a	
636	Kagate	Younger brother	nu	nu	n u	n u	
637	Kagate	Older sister	adzi	adzi	a + dz i	a + dz i	
638	Kagate	Younger sister	numu	numu	n u + m u	n u + m u	
639	Kagate	Son	pu	pu	p u	p u	1403
640	Kagate	Daughter	pomo	pomo	p o/u + m o	p o/u + m o	1227
641	Kagate	Husband	kʰjobo	kʰjobo	kʰ j o + b o	kʰ.j o + b o	1304
642	Kagate	Wife	tɕʰjuŋma	tɕʰjuŋma	tɕʰj/tɕʰ u ŋ + m a	tɕʰj/tɕʰ u.ŋ + m a	74
643	Kagate	Wife	peme	peme	p e !Ø/n + m e	p e.!Ø/n + m e	1121
644	Kagate	Boy	pituk	pituk	p i + t̪ u k	p i + t̪ u.k	
645	Kagate	Girl	pitukmu	pitukmu	p i + t̪ u k + m u	p i + t̪ u.k + m u	
646	Kagate	Day	ɲima	ɲima	ɲ i + m a	ɲ i + m a	
647	Kagate	Night	komu	komu	k !o/u !Ø/ŋ + m u	k !o/u.!Ø/ŋ + m u	
648	Kagate	Morning	ŋamu	ŋamu	ŋ a + m u	ŋ a + m u	1331
649	Kagate	Noon	tsʰəkəl	tsʰəkəl	tsʰ ə + k ə l	tsʰ ə + k ə.l	
650	Kagate	Noon	ɲimakarpo	ɲimakarpo	ɲ i + m a + k a r + p o	ɲ i + m a + k a.r + p o	
651	Kagate	Evening	kuŋɕe	kuŋɕe	k u ŋ + ɕ e	k u.ŋ + ɕ e	
652	Kagate	Yesterday	d̪aŋ	d̪aŋ	d̪ a ŋ	d̪ a.ŋ	1151
653	Kagate	Today	t̪iriŋ	t̪iriŋ	t̪ i + r i ŋ	t̪ i + r i.ŋ	1438
654	Kagate	Tomorrow	ŋart̪o	ŋart̪o	ŋ a r + t̪ o	ŋ a.r + t̪ o	1028
655	Kagate	Month	d̪awa	d̪awa	d̪ a + w a	d̪ a + w a	
656	Kagate	Year	lo	lo	l o	l o	1494
657	Kagate	Old	niŋba	niŋba	n i ŋ + b a	n i.ŋ + b a	
658	Kagate	New	samba	samba	s a + ⁿb/b a	s a + ⁿb/b a	1349
659	Kagate	Good	jabu	jabu	j a + b u	j a + b u	1272
660	Kagate	Good	dzebu	dzebu	dz e + b u	dz e + b u	331
661	Kagate	Bad	majiba	majiba	m a + j i + b a	m a + j i + b a	114
662	Kagate	Bad	marikpa	marikpa	m a + r i k + !p/b a	m a + r i.k + !p/b a	111
663	Kagate	Wet	taŋbu	taŋbu	t̪ a ŋ + b u	t̪ a.ŋ + b u	1081
664	Kagate	Dry	kambu	kambu	k a m + b u	k a.m + b u	1234
665	Kagate	Long	riŋbu	riŋbu	r i ŋ + b u	r i.ŋ + b u	1321
666	Kagate	Short	t̪ʰimi	t̪ʰimi	t̪ʰ i + m i	t̪ʰ i + m i	1386
667	Kagate	Hot	dombo	dombo	d̪ o + ⁿb/b o	d̪ o + ⁿb/b o	398
668	Kagate	Cold	taŋmu	taŋmu	t̪ a ŋ + m u	t̪ a.ŋ + m u	179
669	Kagate	Right	tɕjabutsʰole	tɕjabutsʰole	tɕ j a + b u + tsʰ o + l e	tɕ j a + b u + tsʰ o + l e	663
670	Kagate	Left	joma	joma	j o + m a	j o + m a	1317
671	Kagate	Near	t̪ʰama	t̪ʰama	t̪ʰ a + m a	t̪ʰ a + m a	1345
672	Kagate	Far	t̪ʰariŋbu	t̪ʰariŋbu	t̪ʰ a + r i ŋ + b u	t̪ʰ a + r i.ŋ + b u	1247
673	Kagate	Big	tɕʰjombo	tɕʰjombo	tɕʰj/tɕʰ o + ⁿb/b o	tɕʰj/tɕʰ o + ⁿb/b o	1195
674	Kagate	Small	tɕʰimi	tɕʰimi	tɕʰ i + m i	tɕʰ i + m i	732
675	Kagate	Heavy	tsend̪i	tsend̪i	!ts/tɕ e + ⁿd̪/d̪ i	!ts/tɕ e + ⁿd̪/d̪ i	1290
676	Kagate	Light	jaŋd̪i	jaŋd̪i	j a ŋ + d̪ i	j a.ŋ + d̪ i	1319
677	Kagate	Above	t̪ʰola	t̪ʰola	t̪ʰ o + l a	t̪ʰ o + l a	1
678	Kagate	Below	wala	wala	w a + l a	w a + l a	
679	Kagate	White	karmu	karmu	k a r + m u	k a.r + m u	1472
680	Kagate	Black	nakpu	nakpu	n a k + p u	n a.k + p u	1203
681	Kagate	Red	marmu	marmu	m a r + m u	m a.r + m u	1360
682	Kagate	One	tɕi	tɕi	tɕ i Ø/k	tɕ i.Ø/k	1354
683	Kagate	Two	ŋi	ŋi	ŋ i	ŋ i	1452
684	Kagate	Three	sum	sum	s u m	s u.m	1433
685	Kagate	Four	ɕi	ɕi	ɕ i	ɕ i	1262
686	Kagate	Five	ŋa	ŋa	ŋ a	ŋ a	1310
687	Kagate	Six	tuk	tuk	t̪ u k	t̪ u.k	1388
688	Kagate	Seven	t̪in	t̪in	t̪ i n	t̪ i.n	1384
689	Kagate	Eight	ke	ke	k e	k e	1245
690	Kagate	Nine	ku	ku	k u	k u	1351
691	Kagate	Ten	tɕju	tɕju	tɕj/tɕ u	tɕj/tɕ u	1422
692	Kagate	Eleven	tɕjudʑik	tɕjudʑik	tɕj/tɕ u + !dʑ/tɕ i k	tɕj/tɕ u + !dʑ/tɕ i.k	
693	Kagate	Twelve	tɕikŋi	tɕikŋi	tɕ i k + ŋ i	tɕ i.k + ŋ i	
694	Kagate	Twenty	ŋiɕju	ŋiɕju	ŋ i + ɕj/tɕ u	ŋ i + ɕj/tɕ u	1451
695	Kagate	One Hundred	kjatɕik	kjatɕik	k j a + tɕ i k	k.j a + tɕ i.k	1303
696	Kagate	Who	su	su	s u	s u	1474
697	Kagate	What	tsi	tsi	!ts/tɕ i	!ts/tɕ i	1464
698	Kagate	Where	kala	kala	k a + l a	k a + l a	1470
699	Kagate	When	nam	nam	n a m	n a.m	
700	Kagate	How many	kadze	kadze	k a + dz e	k a + dz e	
701	Kagate	Which	kãd̪i	kãd̪i	k ã + d̪ i	k ã + d̪ i	
702	Kagate	This	d̪ikʰo	d̪ikʰo	d̪ i + kʰ o	d̪ i + kʰ o	1428
703	Kagate	That	wokʰo	wokʰo	w o + kʰ o	w o + kʰ o	786
704	Kagate	These	d̪ikʰokja	d̪ikʰokja	d̪ i + kʰ o + k j a	d̪ i + kʰ o + k.j a	
705	Kagate	Those	wokʰokja	wokʰokja	w o + kʰ o + k j a	w o + kʰ o + k.j a	
706	Kagate	Same	wokʰora	wokʰora	w o + kʰ o + r a	w o + kʰ o + r a	
707	Kagate	Different	raŋsara	raŋsara	r a ŋ + s a + r a	r a.ŋ + s a + r a	
708	Kagate	Whole	t̪ʰamdzer	t̪ʰamdzer	t̪ʰ a m + dz e r	t̪ʰ a.m + dz e.r	
709	Kagate	Whole	kopt̪ar	kopt̪ar	k o p + t̪ a r	k o.p + t̪ a.r	
710	Kagate	Broken	tɕʰjako	tɕʰjako	tɕʰj/tɕʰ a k + !Ø/k o	tɕʰj/tɕʰ a.k + !Ø/k o	
711	Kagate	Few	t̪ibi	t̪ibi	t̪ i + b i	t̪ i + b i	
712	Kagate	Many	maŋbu	maŋbu	m a ŋ + b u	m a.ŋ + b u	1323
713	Kagate	All	t̪ʰamdzer	t̪ʰamdzer	t̪ʰ a m + dz e r	t̪ʰ a.m + dz e.r	1175
714	Kagate	To eat	sadze	sadze	s a + dz e	s a + dz e	1240
715	Kagate	To bite	murtse	murtse	m u r + !ts/dz e	m u.r + !ts/dz e	1202
716	Kagate	To be hungry	d̪opat̪odze	d̪opat̪odze	d̪ o + p a + t̪ o + dz e	d̪ o + p a + t̪ o + dz e	
717	Kagate	To drink	t̪ʰuŋdze	t̪ʰuŋdze	t̪ʰ u ŋ + dz e	t̪ʰ u.ŋ + dz e	1232
718	Kagate	To be thirsty	kondze	kondze	k o !n/m + dz e	k o.!n/m + dz e	
719	Kagate	To sleep	ɲaldze	ɲaldze	ɲ a l + dz e	ɲ a.l + dz e	1394
720	Kagate	To lie	t̪ʰaŋsodze	t̪ʰaŋsodze	t̪ʰ a ŋ + s o + dz e	t̪ʰ a.ŋ + s o + dz e	
721	Kagate	To sit	t̪etse	t̪etse	t̪ e + !ts/dz e	t̪ e + !ts/dz e	
722	Kagate	To give	t̪ertse	t̪ertse	t̪ e r + !ts/dz e	t̪ e.r + !ts/dz e	1268
723	Kagate	To burn	sadze	sadze	s a + dz e	s a + dz e	
724	Kagate	To die	ɕidze	ɕidze	ɕ i + dz e	ɕ i + dz e	1230
725	Kagate	To kill	setse	setse	s e + !ts/dz e	s e + !ts/dz e	1311
726	Kagate	To fly	urtse	urtse	!Ø/pʰ u r + !ts/dz e	!Ø/pʰ u.r + !ts/dz e	1259
727	Kagate	To walk	dodze	dodze	d̪ o + dz e	d̪ o + dz e	1453
728	Kagate	To run	tɕʰjoŋdze	tɕʰjoŋdze	tɕʰj/tɕʰ o ŋ + dz e	tɕʰj/tɕʰ o.ŋ + dz e	967
729	Kagate	To go	dodze	dodze	d̪ o + dz e	d̪ o + dz e	
730	Kagate	To come	oŋdze	oŋdze	o ŋ + dz e	o.ŋ + dz e	1223
731	Kagate	To speak	latse	latse	l a + !ts/dz e	l a + !ts/dz e	
732	Kagate	To hear/listen	kodze	kodze	k o + dz e	k o + dz e	
733	Kagate	To look	t̪adze	t̪adze	t̪ a + dz e	t̪ a + dz e	
734	Kagate	I	ŋa	ŋa	ŋ a	ŋ a	1310
735	Kagate	You (informal)	kʰjo	kʰjo	kʰ j o	kʰ.j o	1430
736	Kagate	You (formal)	kʰja	kʰja	kʰ j a	kʰ.j a	
737	Kagate	He	kʰo	kʰo	kʰ o	kʰ o	
738	Kagate	She	mo	mo	m o	m o	
739	Kagate	We (inclusive)	u	u	u	u	1070
740	Kagate	We (exclusive)	ŋi	ŋi	ŋ i	ŋ i	
741	Kagate	You (plural)	kʰjokja	kʰjokja	kʰ j o + k j a	kʰ.j o + k.j a	1498
742	Kagate	They	kʰuŋkja	kʰuŋkja	kʰ u ŋ + k j a	kʰ u.ŋ + k.j a	
743	Kagate	Load	kʰurpu	kʰurpu	kʰ u r + p u	kʰ u.r + p u	
744	Kagate	Flour (eaten as food)	tsamba	tsamba	ts a m + b a	ts a.m + b a	
745	Kagate	Hailstone	serak	serak	s e + r a k	s e + r a.k	1280
746	Kagate	Intestine	kjuma	kjuma	k j u + m a	k.j u + m a	
747	Kagate	Yard	kot̪oŋ	kot̪oŋ	k o + t̪ o ŋ	k o + t̪ o.ŋ	
748	Kagate	Yard	ild̪o	ild̪o	i l + d̪ o	i l + d̪ o	
749	Kagate	To uproot	podze	podze	p o + dz e	p o + dz e	
750	Kagate	Oven	kwaɡa	kwaɡa	kʷ a + g a	kʷ a + g a	
751	Kagate	Heel	t̪iŋba	t̪iŋba	t̪ i ŋ + b a	t̪ i.ŋ + b a	
752	Kagate	Spade	t̪odzi	t̪odzi	t̪ o + !dz/ts i	t̪ o + !dz/ts i	
753	Kagate	Horse	t̪abu	t̪abu	t̪ a + b u	t̪ a + b u	1294
754	Kagate	Load	ɕjuwa	ɕjuwa	ɕ j u + w a	ɕ.j u + w a	
755	Kagate	To plough	modze	modze	m o + dz e	m o + dz e	
756	Kagate	Bond	siu	siu	s !i/j u	s.!i/j u	
757	Kagate	Beam (main wooden beam)	maid̪an	maid̪an	m ai + d̪ a n	m ai + d̪ a.n	
758	Kagate	Rope used to tie animals	t̪ʰakpa	t̪ʰakpa	t̪ʰ a k + p a	t̪ʰ a.k + p a	
759	Kagate	Beard	maŋre	maŋre	m a ŋ + r e	m a.ŋ + r e	
760	Kagate	To measure	t̪aptse	t̪aptse	t̪ a p + !ts/dz e	t̪ a.p + !ts/dz e	
761	Kagate	Plank	paŋlek	paŋlek	p a ŋ + l e k	p a.ŋ + l e.k	
762	Kagate	Hole	sup	sup	s u p	s u.p	
763	Kagate	Plough (noun)	t̪ʰoŋ	t̪ʰoŋ	t̪ʰ o ŋ	t̪ʰ o.ŋ	
764	Kagate	Lid (cover)	kʰaptɕju	kʰaptɕju	kʰ a p + tɕj/tɕ u	kʰ a.p + tɕj/tɕ u	
765	Kagate	Handle	joaɡa	joaɡa	j o + !Ø/w a + g a	j o + !Ø/w a + g a	
766	Kagate	Bear	t̪om	t̪om	t̪ o m	t̪ o.m	
767	Kagate	Ghost	ɦendi	ɦendi	!ɦ/h !Ø/l e n + d̪ i	!ɦ/h.!Ø/l e.n + d̪ i	
768	Kagate	Manure	tɕʰja	tɕʰja	tɕʰj/tɕʰ a	tɕʰj/tɕʰ a	
769	Kagate	Bread	kʰura	kʰura	kʰ u + r a	kʰ u + r a	
770	Kagate	Corpse	ro	ro	r o	r o	
771	Kagate	Corpse	pʰumbu	pʰumbu	pʰ u m + b u	pʰ u.m + b u	
772	Kagate	Pig	pʰa	pʰa	pʰ a	pʰ a	1356
773	Kagate	Grains	du	du	d̪ u	d̪ u	
774	Kagate	Stick	perka	perka	p e r + k a	p e.r + k a	762
775	Kagate	Sweat	ŋuldʑju	ŋuldʑju	ŋ u l + dʑj/dʑ u	ŋ u.l + dʑj/dʑ u	
776	Kagate	To chew	d̪etse	d̪etse	d̪ e + !ts/dz e	d̪ e + !ts/dz e	868
777	Kagate	To swallow	ɲiktse	ɲiktse	ɲ i k + !ts/dz e	ɲ i.k + !ts/dz e	
778	Kagate	To throw	kurtse	kurtse	k !Ø/j u r + !ts/dz e	k.!Ø/j u.r + !ts/dz e	1000
779	Lowa	Body	suʔ	suʔ	s u ʔ	s u.ʔ	
780	Lowa	Head	ŋɡo	ŋɡo	ⁿg/g o	ⁿg/g o	1284
781	Lowa	Head	ŋɡowa	ŋɡowa	ⁿg/g o + w a	ⁿg/g o + w a	1284
782	Lowa	Hair	ʂɹa	ʂɹa	ʂ ɹ/ɾ a	ʂ.ɹ/ɾ a	1282
783	Lowa	Face	ŋot̪oŋ	ŋot̪oŋ	ŋ o + t̪ o ŋ	ŋ o + t̪ o.ŋ	
784	Lowa	Eye	mik	mik	m i k	m i.k	1246
785	Lowa	Ear	amtɕjoʔ	amtɕjoʔ	a m + tɕj/tɕ o ʔ	a.m + tɕj/tɕ o.ʔ	1239
786	Lowa	Nose	na	na	n a	n a	1352
787	Lowa	Mouth	kʰa	kʰa	kʰ a	kʰ a	1340
788	Lowa	Teeth	so	so	s o	s o	1446
789	Lowa	Tongue	tsemu	tsemu	!ts/tɕ e + m u	!ts/tɕ e + m u	1444
790	Lowa	Breast	oma	oma	o + m a	o + m a	1211
791	Lowa	Belly	pʰowa	pʰowa	pʰ o + w a	pʰ o + w a	1192
792	Lowa	Arm/Hand	laɡpa	laɡpa	l a g/k + p a	l a.g/k + p a	
793	Lowa	Elbow	tamo	tamo	t̪ a + m o	t̪ a + m o	
794	Lowa	Palm	laɡt̪ʰil	laɡt̪ʰil	l a g/k + t̪ʰ i l	l a.g/k + t̪ʰ i.l	
795	Lowa	Palm	laɡt̪ʰi	laɡt̪ʰi	l a g/k + t̪ʰ i	l a.g/k + t̪ʰ i	
796	Lowa	Finger	ndzu	ndzu	ⁿdz/dz u	ⁿdz/dz u	
797	Lowa	Fingernail	semo	semo	s e + m o	s e + m o	
798	Lowa	Leg	kaŋpa	kaŋpa	k a ŋ + p a	k a.ŋ + p a	
799	Lowa	Skin	pawo	pawo	p a + w o	p a + w o	1389
800	Lowa	Bone	ɹuko	ɹuko	ɹ/ɾ u + k o	ɹ/ɾ u + k o	1208
801	Lowa	Heart	ɲiŋ	ɲiŋ	ɲ i ŋ	ɲ i.ŋ	1288
802	Lowa	Blood	tʰak	tʰak	t̪ʰ a k	t̪ʰ a.k	1206
803	Lowa	Urine	tsiŋ	tsiŋ	ts i ŋ	ts i.ŋ	
804	Lowa	Faeces	kjakpa	kjakpa	k j a k + p a	k.j a.k + p a	
805	Lowa	Faeces	tsa	tsa	ts a	ts a	
806	Lowa	Village	toŋsep	toŋsep	t̪ o ŋ + s e p	t̪ o.ŋ + s e.p	
807	Lowa	House	kʰaŋpa	kʰaŋpa	kʰ a ŋ + p a	kʰ a.ŋ + p a	1301
808	Lowa	Roof	t̪aŋ	t̪aŋ	t̪ a ŋ	t̪ a.ŋ	
809	Lowa	Door	ko	ko	k o	k o	
810	Lowa	Firewood	ɕiŋ	ɕiŋ	ɕ i ŋ	ɕ i.ŋ	1254
811	Lowa	Broom	tɕʰjaɡma	tɕʰjaɡma	tɕʰj/tɕʰ a g/k + m a	tɕʰj/tɕʰ a.g/k + m a	
812	Lowa	Mortar	t̪ympo	t̪ympo	t̪ y m + p o	t̪ y.m + p o	
813	Lowa	Pestle	jyt̪yn	jyt̪yn	j y + t̪ y n	j y + t̪ y.n	
814	Lowa	Hammer	t̪ʰowa	t̪ʰowa	t̪ʰ o + w a	t̪ʰ o + w a	
815	Lowa	Knife	tʰi	tʰi	t̪ʰ i	t̪ʰ i	1313
816	Lowa	Axe	t̪iɾi	t̪iɾi	t̪ i + ɾ i	t̪ i + ɾ i	
817	Lowa	Rope	t̪ʰaɡpa	t̪ʰaɡpa	t̪ʰ a g/k + p a	t̪ʰ a.g/k + p a	1374
818	Lowa	Thread	kupa	kupa	k u + p a	k u + p a	
819	Lowa	Needle	kʰap	kʰap	kʰ a p	kʰ a.p	1348
820	Lowa	Cloth	kolaʔ	kolaʔ	k o + l a ʔ	k o + l a.ʔ	
821	Lowa	Ring	set̪op	set̪op	s e + t̪ o p	s e + t̪ o.p	
822	Lowa	Sun	ɲima	ɲima	ɲ i + m a	ɲ i + m a	1418
823	Lowa	Moon	nd̪a	nd̪a	ⁿd/d a	ⁿd/d a	1327
824	Lowa	Sky	nam	nam	n a m	n a.m	1392
825	Lowa	Star	kaɹma	kaɹma	k aɹ/a + m a	k aɹ/a + m a	1410
826	Lowa	Rain	tɕʰjawa	tɕʰjawa	tɕʰj/tɕʰ a + w a	tɕʰj/tɕʰ a + w a	
827	Lowa	Water	tɕʰju	tɕʰju	tɕʰj/tɕʰ u	tɕʰj/tɕʰ u	1458
828	Lowa	River	tsaŋpo	tsaŋpo	ts a ŋ + p o	ts a.ŋ + p o	1368
829	Lowa	Cloud	ʂɹiŋpa	ʂɹiŋpa	ʂ ɹ/ɾ i ŋ + p a	ʂ.ɹ/ɾ i.ŋ + p a	1216
830	Lowa	Lightening	lokmaɹ	lokmaɹ	l o k + m a ɾ	l o.k + m a.ɾ	
831	Lowa	Rainbow	ndʑja	ndʑja	ⁿdʑj/dʑ a	ⁿdʑj/dʑ a	1358
832	Lowa	Wind	luŋ	luŋ	l u ŋ	l u.ŋ	1485
833	Lowa	Wind	luŋpo	luŋpo	l u ŋ + p o	l u.ŋ + p o	1485
834	Lowa	Stone	t̪okoŋ	t̪okoŋ	t̪ o + k o ŋ	t̪ o + k o.ŋ	1416
835	Lowa	Path	lam	lam	l a m	l a.m	
836	Lowa	Sand	pema	pema	p e + m a	p e + m a	1382
837	Lowa	Fire	me	me	m e	m e	1251
838	Lowa	Smoke	t̪ipa	t̪ipa	t̪ i + p a	t̪ i + p a	
839	Lowa	Ash	koɡt̪ʰa	koɡt̪ʰa	k o g/k + t̪ʰ a	k o.g/k + t̪ʰ a	
840	Lowa	Mud	n̪d̪ampak	n̪d̪ampak	ⁿd/d a m + p a k	ⁿd/d a.m + p a.k	1342
841	Lowa	Mud	sa	sa	s a	s a	534
842	Lowa	Dust	t̪ʰala	t̪ʰala	t̪ʰ a + l a	t̪ʰ a + l a	1237
843	Lowa	Gold	seɾ	seɾ	s e ɾ	s e.ɾ	
844	Lowa	Tree	t̪oŋbo	t̪oŋbo	t̪ o ŋ + b o	t̪ o.ŋ + b o	1039
845	Lowa	Leaf	loma	loma	l o + m a	l o + m a	1315
846	Lowa	Root	tsawa	tsawa	ts a + w a	ts a + w a	1371
